City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,queenstown,-31.8976,26.8753,23.56,45,87,1.94,ZA,1738717133
208,stanthorpe,-28.6667,151.95,21.35,81,100,2.17,AU,1738717134
209,louis trichardt,-23.0439,29.9032,20.93,74,10,1.36,ZA,1738717135
210,aketi,2.7388,23.7833,22.83,42,100,0.83,CD,1738717136
211,ardakan,32.31,54.0175,5.5,26,1,0.43,IR,1738717138
212,egilsstadir,65.2653,-14.3948,-0.05,80,75,6.17,IS,1738717139
213,saynshand,44.8824,110.1163,-16.22,66,100,7.17,MN,1738717140
214,jandiala sher khan,31.8199,73.9181,8.07,36,0,1.68,PK,1738717141
215,mukalla,14.5425,49.1242,18.78,58,0,2.36,YE,1738717143
216,al jawf,29.5,38.75,12.03,27,90,4.04,SA,1738717144
217,manakara,-22.1333,48.0167,24.46,91,100,0.79,MG,1738717145
218,cabo san lucas,22.8909,-109.9124,18.9,52,1,6.97,MX,1738716971
219,greenville,35.6127,-77.3663,15.07,78,6,6.26,US,1738716919
220,bahar,34.9072,48.4414,-1.91,64,0,3.09,IR,1738717148
221,saldanha,-33.0117,17.9442,18.3,88,6,4.5,ZA,1738716580
222,nova sintra,14.8667,-24.7167,21.62,71,50,10.17,CV,1738717025
223,guerrero negro,27.9769,-114.0611,15.07,83,0,5.88,MX,1738717151
224,zacatecoluca,13.5,-88.8667,28.1,59,58,1.66,SV,1738717152
225,newport,51.5877,-2.9984,6.41,90,0,2.76,GB,1738716916
226,east london,-33.0153,27.9116,24.95,90,100,4.77,ZA,1738717155
227,hita,33.3167,130.9333,0.07,77,98,3.86,JP,1738717156
228,shetpe,44.1667,52.1167,0.95,69,47,1.24,KZ,1738717157
229,tura,25.5198,90.2201,14.96,66,0,1.44,IN,1738717158
230,la foa,-21.7108,165.8276,24.21,91,100,1.76,NC,1738717159
231,along,28.1667,94.7667,11.34,69,100,0.21,IN,1738717160
232,aykol,38.1751,77.2132,-5.13,44,100,0.35,CN,1738717161
233,petrolina,-9.3986,-40.5008,28.03,47,20,3.09,BR,1738717162
234,argo,37.6333,22.7333,5.56,83,55,1.78,GR,1738717163
235,mount gambier,-37.8333,140.7667,20.94,38,12,5.88,AU,1738717164
236,amursk,50.2261,136.8994,-16.2,80,100,11.75,RU,1738717165
237,boa vista,2.8197,-60.6733,26.99,65,75,6.17,BR,1738716934
238,gardony,47.2094,18.6361,-0.34,72,11,1.15,HU,1738717167
239,tralee,52.2704,-9.7026,5.98,76,26,5.24,IE,1738717010
240,caleta de carquin,-11.0925,-77.6267,22.32,80,100,4.02,PE,1738717170
241,rongelap,11.1635,166.8941,26.56,80,87,9.12,MH,1738716897
242,magadi,12.9667,77.2333,15.82,64,3,2.63,IN,1738717172
243,iskateley,67.6803,53.1512,-7.91,94,100,5.68,RU,1738717173
244,dudinka,69.4058,86.1778,-30.04,96,65,0.98,RU,1738717174
245,tlahualilo de zaragoza,26.1167,-103.45,21.0,14,0,2.25,MX,1738717176
246,palmer,42.1584,-72.3287,-1.25,40,40,9.77,US,1738717177
247,eirunepe,-6.6603,-69.8736,23.56,98,100,0.38,BR,1738717178
248,huarmey,-10.0681,-78.1522,22.72,78,100,3.38,PE,1738717179
249,jolo,6.05,121.0167,27.19,82,100,1.06,PH,1738717180
250,santo antonio do ica,-3.1022,-67.9397,23.47,97,100,0.81,BR,1738717181
251,eraan,9.0629,117.7016,26.98,73,100,1.09,PH,1738717182
252,dryden,49.7833,-92.7503,-19.84,65,0,3.6,CA,1738717053
253,foca,38.6703,26.7566,7.23,63,12,12.02,TR,1738717185
254,coquimbo,-29.9533,-71.3436,16.85,94,20,3.6,CL,1738716549
255,ouadda,8.0777,22.4007,22.01,27,67,1.69,CF,1738717187
256,kisangani,0.5167,25.2,24.41,61,100,0.44,CD,1738717188
257,sao joao da barra,-21.6403,-41.0511,25.31,86,0,9.18,BR,1738717190
258,mandiana,10.6333,-8.6833,23.4,24,100,2.32,GN,1738717191
259,nar'yan-mar,67.6713,53.087,-8.0,94,100,5.65,RU,1738717192
260,porto murtinho,-21.6989,-57.8825,26.23,71,80,2.86,BR,1738717193
261,kasungu,-13.0333,33.4833,18.81,98,100,1.3,MW,1738717194
262,grand gaube,-20.0064,57.6608,26.32,92,12,4.21,MU,1738717195
263,boke,10.9409,-14.2967,21.78,31,91,1.28,GN,1738717196
264,katsuren-haebaru,26.3369,127.8719,14.21,46,75,6.17,JP,1738717197
265,kabansk,52.0486,106.6528,-16.44,77,100,6.02,RU,1738717198
266,ito,34.9667,139.0833,4.82,54,6,1.34,JP,1738717112
267,kavieng,-2.5744,150.7967,29.43,67,74,4.37,PG,1738717204
268,portland,45.5234,-122.6762,5.9,74,100,2.68,US,1738716984
269,bridgewater,44.3835,-64.5155,-4.18,75,14,8.23,CA,1738717206
270,krasnyy chikoy,50.3643,108.7512,-17.72,88,100,7.5,RU,1738717208
271,glace bay,46.1969,-59.957,-5.48,74,40,6.17,CA,1738717209
272,gizo,-8.103,156.8419,29.14,72,100,4.83,SB,1738717210
273,prainha,-1.8,-53.48,23.2,87,97,1.29,BR,1738717211
274,shizukuishi,39.6833,140.9833,-4.23,85,95,8.62,JP,1738717212
275,selfoss,63.9331,-20.9971,-0.53,62,100,15.81,IS,1738717213
276,aykhal,66.0,111.5,-30.12,82,100,2.23,RU,1738717214
277,taltal,-25.4,-70.4833,19.27,88,32,1.41,CL,1738716499
278,taungoo,18.9333,96.4333,19.18,70,23,1.15,MM,1738717217
279,alice springs,-23.7,133.8833,32.75,27,3,10.8,AU,1738716654
280,angaur state,6.906,134.13,27.19,77,100,6.63,PW,1738717219
281,shchastya,48.7396,39.2323,-1.88,80,93,5.18,UA,1738717220
282,ust'-barguzin,53.45,108.9833,-21.8,94,100,0.96,RU,1738717221
283,tauranga,-37.6861,176.1667,26.64,65,94,1.34,NZ,1738717222
284,ilongero,-4.6667,34.8667,15.83,93,75,0.91,TZ,1738717223
285,happy valley-goose bay,53.3168,-60.3315,-14.83,66,75,6.69,CA,1738717224
286,rio gallegos,-51.6226,-69.2181,16.03,31,0,4.63,AR,1738717028
287,saint-joseph,-21.3667,55.6167,26.21,80,98,1.2,RE,1738716941
288,horyuji,34.6167,135.7333,3.55,60,20,5.66,JP,1738717228
289,sianow,54.2265,16.2913,-0.1,78,81,2.87,PL,1738717229
290,chardara,41.2547,67.9692,3.94,57,100,2.3,KZ,1738717230
291,oodweyne,9.4092,45.064,14.02,47,8,1.15,SO,1738717231
292,hays,30.0502,-98.0336,23.17,74,0,3.58,US,1738717232
293,avarua,-21.2078,-159.775,27.03,94,100,1.03,CK,1738717233
294,murzuq,25.9155,13.9184,14.91,35,100,4.33,LY,1738717234
295,uttarkashi,30.7333,78.45,3.48,66,3,2.83,IN,1738717235
296,bubaque,11.2833,-15.8333,25.16,50,100,7.24,GW,1738717236
297,yarmouth,41.7057,-70.2286,0.54,56,72,12.96,US,1738717238
298,sydney,-33.8679,151.2073,32.72,63,6,2.24,AU,1738717139
299,chui,-33.6971,-53.4616,24.38,92,39,3.51,UY,1738717240
300,harper,4.375,-7.7169,26.39,85,12,2.63,LR,1738716948
301,moyamba,8.1667,-12.4333,21.31,77,99,0.18,SL,1738717242
302,port douglas,-16.4833,145.4667,27.61,86,100,3.1,AU,1738717243
303,dhidhdhoo,6.8833,73.1,27.6,70,3,2.8,MV,1738717244
304,kenai,60.5544,-151.2583,-4.92,80,0,1.54,US,1738717245
305,rio grande,-32.035,-52.0986,24.59,94,1,5.98,BR,1738717247
306,yuxia,34.0615,108.6291,2.38,32,55,1.35,CN,1738717248
307,uglekamensk,43.2172,133.2303,-17.05,57,100,5.38,RU,1738717249
308,codrington,-38.2667,141.9667,19.1,48,7,8.04,AU,1738717251
309,cabedelo,-6.9811,-34.8339,24.37,83,100,5.44,BR,1738717254
310,axim,4.8699,-2.2405,26.74,86,65,3.98,GH,1738717255
311,kapoeta,4.7717,33.5903,27.53,28,51,8.39,SS,1738717256
312,terenos,-20.4422,-54.8603,25.84,88,40,2.06,BR,1738717258
313,n'zeto,-7.2312,12.8666,26.45,87,100,1.23,AO,1738717259
314,jumla,29.2747,82.1838,-0.11,92,50,3.15,NP,1738717260
315,jamestown,42.097,-79.2353,-5.2,73,100,4.63,US,1738717261
316,mangrol,21.1167,70.1167,16.84,78,6,6.28,IN,1738717262
317,srandakan,-7.9386,110.2506,25.65,85,100,2.62,ID,1738717038
318,choyr,46.3611,108.3611,-18.35,80,89,6.88,MN,1738717265
319,taro,-8.3862,115.28,24.78,78,99,1.22,ID,1738717266
320,cockburn town,21.4612,-71.1419,24.96,70,23,8.55,TC,1738716891
321,inverell,-29.7833,151.1167,27.28,59,100,2.24,AU,1738717268
322,fort bragg,35.139,-79.006,15.28,71,0,0.0,US,1738717271
323,zyryanskoye,56.8306,86.6258,-25.62,100,31,1.98,RU,1738717272
324,kirensk,57.7853,108.1119,-25.84,91,100,3.91,RU,1738717273
325,serowe,-22.3833,26.7167,21.08,52,8,2.57,BW,1738717276
326,hanzhong,33.0728,107.0303,4.63,45,96,1.74,CN,1738717277
327,shovot,41.6607,60.2924,0.8,53,61,2.9,UZ,1738717278
328,walvis bay,-22.9575,14.5053,18.96,83,96,1.37,NA,1738717280
329,banda aceh,5.5577,95.3222,24.54,82,100,4.34,ID,1738717281
330,yemetsk,63.4721,41.7941,-16.09,99,83,0.64,RU,1738717282
331,antsiranana,-12.2787,49.2917,24.29,89,100,4.52,MG,1738717284
332,berezovyy,51.6667,135.7,-16.36,94,100,3.96,RU,1738717286
333,isangel,-19.55,169.2667,30.06,74,75,1.03,VU,1738717288
334,madimba,-10.4,40.3333,26.56,82,100,6.31,TZ,1738717289
335,hutchinson island south,27.2995,-80.2205,23.34,92,40,3.09,US,1738717291
336,vodice,43.7608,15.7828,3.72,54,0,5.59,HR,1738717292
337,porto de moz,-1.7483,-52.2383,23.37,89,100,1.25,BR,1738717293
338,pandan,14.0453,124.1694,26.34,83,85,4.57,PH,1738717294
339,chibougamau,49.9168,-74.3659,-22.21,71,20,4.12,CA,1738717295
340,amboasary,-25.0333,46.3833,23.62,86,90,5.35,MG,1738717297
341,visby,57.6409,18.296,3.12,87,100,5.66,SE,1738717298
342,mili,6.0815,171.735,26.97,84,100,9.55,MH,1738717299
343,pass christian,30.3158,-89.2475,19.03,95,0,0.0,US,1738717073
344,al qusiyah,27.4402,30.8184,13.31,63,0,4.17,EG,1738717301
345,kaleke mandi,31.9772,73.6026,7.71,39,0,1.2,PK,1738717302
346,inhambane,-23.865,35.3833,26.63,68,68,4.63,MZ,1738717303
347,belyy yar,53.6039,91.3903,-18.06,92,99,0.0,RU,1738717304
348,mpika,-11.8343,31.4529,16.61,99,100,0.59,ZM,1738717305
349,hadibu,12.65,54.0333,21.31,71,53,5.08,YE,1738717306
350,acarau,-2.8856,-40.12,25.49,89,9,4.74,BR,1738717308
351,steamboat springs,40.485,-106.8317,2.96,77,100,1.34,US,1738717309
352,vangaindrano,-23.35,47.6,24.36,94,99,1.91,MG,1738717310
353,binuangan,8.9153,124.7883,27.09,70,74,3.09,PH,1738717311
354,arkhangel'sk,64.5401,40.5433,-12.94,85,100,2.0,RU,1738717313
355,alofi,-19.0595,-169.9187,27.94,78,75,3.09,NU,1738717314
356,revda,56.801,59.9303,-12.02,96,88,2.21,RU,1738717315
357,tindouf,27.6711,-8.1474,12.25,28,0,2.57,DZ,1738716768
358,gembu,6.7,11.2667,18.26,24,87,1.61,NG,1738717317
359,hingorja,27.2109,68.416,12.91,24,0,2.92,PK,1738717319
360,hithadhoo,-0.6,73.0833,27.68,68,6,4.57,MV,1738716739
361,pachino,36.7186,15.0907,11.87,84,19,3.1,IT,1738717321
